KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
-11.7,0.8,46.0,0.0,0.0,7.0,0.0,-8.0,0.1,0.0,1.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,410.0,-10.4,9.0,12.1,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-11.9,1.7,44.0,0.0,0.0,7.0,0.0,-9.4,0.1,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,405.0,413.0,-10.6,9.5,12.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.8,0.9,51.0,0.0,0.0,7.0,0.0,-10.0,0.3,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,425.0,-9.6,7.7,10.4,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Dry
-12.2,2.2,44.0,0.0,0.0,7.0,-0.1,-10.6,0.2,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,400.0,402.0,-10.9,9.5,11.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.2,1.0,44.0,0.0,0.1,7.0,-0.1,-8.9,0.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,-10.9,9.3,12.9,0.82,0.82,0.82,0.82,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.1,3.6,51.0,0.0,0.0,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,Dry weather,Dry weather,,
-10.3,2.0,48.0,0.0,0.0,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,Dry weather,Dry weather,,
-12.3,1.9,44.0,0.0,0.0,7.0,-0.4,-12.6,0.1,0.0,1.0,1.0,,,0.0,0.01,0.0,0.0,0.0,0.0,400.0,407.0,-10.9,9.5,12.7,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.9,2.1,43.0,0.0,0.0,7.0,,-9.3,0.3,0.0,0.0,0.0,,,,,,,,,,,-11.5,9.5,,,,,,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,The sensor has a fault
-12.5,1.2,45.0,0.0,0.0,7.0,-0.3,-9.4,0.4,0.0,8.0,1.0,,,0.0,,0.0,,0.0,,110.0,405.0,-11.1,9.0,15.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Probably moist and salty,Dry
-16.0,1.7,32.0,0.0,0.1,7.0,-0.7,,,0.0,1.0,1.0,,,,,,,,,408.0,415.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.6,0.9,51.0,0.0,0.0,7.0,-0.2,,,0.0,1.0,8.0,,,,,,,,,373.0,113.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Probably moist and salty
-12.9,1.5,40.0,0.0,0.0,7.0,-0.3,-6.1,0.3,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,430.0,737.0,-11.5,10.7,13.2,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.5,4.2,47.0,0.0,0.0,7.0,,-6.2,0.1,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,,-9.3,8.8,,,,0.82,0.82,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,The sensor has a fault
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.4,2.6,39.0,0.0,0.2,7.0,0.0,-6.7,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,407.0,-11.9,11.0,13.7,0.82,0.82,0.82,0.82,0.2,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-11.7,,47.0,,,,,-8.1,0.2,,,,,,0.0,,0.0,,0.0,,,,-10.4,8.5,,0.82,0.82,,,,,,,,,
-12.8,1.1,39.0,0.0,0.0,7.0,0.0,-5.9,1.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,495.0,359.0,-11.5,11.0,16.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.1,0.7,35.0,0.0,0.0,7.0,0.0,-8.3,1.0,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,435.0,475.0,-13.5,11.8,14.0,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-11.4,3.0,48.0,0.0,0.0,7.0,,-10.1,0.1,0.0,,,,,,,,,,,,,-10.1,8.3,,,,,,0.0,,0.0,Dry weather,Dry weather,,
-11.8,1.3,42.0,0.0,0.1,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,Dry weather,Dry weather,,
-11.5,1.3,43.0,0.0,0.1,7.0,,,,0.0,2.0,,2.0,,0.0,,0.0,,0.0,,,,,,,0.81,0.81,,,,0.0,0.0,Dry weather,Dry weather,Moist,
-12.2,0.3,46.0,0.0,0.1,7.0,0.0,-6.7,0.5,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,420.0,422.0,-10.8,8.7,9.8,0.82,0.82,0.82,0.82,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.1,0.4,46.0,0.0,0.1,7.0,0.0,-7.3,0.6,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,425.0,390.0,-10.8,8.8,10.4,0.82,0.82,0.82,0.82,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.2,0.2,38.0,0.0,0.0,7.0,-0.2,-9.2,-1.5,0.0,2.0,1.0,,,,,,,,,115.0,411.0,-16.3,10.2,14.0,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Dry
-20.0,1.6,25.0,0.0,0.0,7.0,0.0,-9.1,-0.8,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,420.0,130.0,-17.9,15.1,16.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.7,0.5,45.0,0.0,0.0,7.0,0.0,-10.0,0.6,0.0,1.0,,,,0.0,,0.03,,0.01,,453.0,,-14.0,8.4,7.5,0.8,0.8,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-13.7,0.5,40.0,0.0,0.3,7.0,-0.4,-6.2,0.8,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,495.0,-12.2,10.5,11.2,0.82,0.82,0.82,0.82,0.3,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-14.0,0.9,38.0,0.0,0.0,7.0,-0.5,-6.6,-0.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,427.0,443.0,-12.5,10.9,12.7,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.5,0.9,41.0,0.0,0.0,7.0,-0.1,-9.2,-1.0,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,405.0,402.0,-13.9,9.6,12.5,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.6,0.5,41.0,0.0,0.0,7.0,-0.1,-8.0,-0.9,0.0,1.0,,,,0.0,,0.0,,0.0,,405.0,,-14.0,9.8,12.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-12.4,1.8,42.0,0.0,0.0,7.0,0.0,-6.1,0.8,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,420.0,-11.1,9.9,10.5,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.5,0.3,57.0,0.0,0.0,7.0,-0.1,-10.8,-0.5,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,435.0,430.0,-11.1,5.9,9.0,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-13.9,0.4,50.0,0.0,0.0,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,Dry weather,Dry weather,,
-14.4,0.4,49.0,0.0,0.0,7.0,0.0,-9.6,-0.6,0.0,1.0,1.0,,,,,,,,,443.0,411.0,-12.9,7.5,11.1,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-6.4,0.0,80.0,0.0,0.0,7.0,-0.7,,,0.0,1.0,1.0,,,,,,,,,418.0,413.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-6.4,0.0,80.0,0.0,0.0,,,,,,1.0,,,,0.0,,0.0,,0.0,,,,,,,0.81,0.81,,,,0.0,0.0,Dry weather,,Dry,
-15.9,1.6,40.0,0.0,0.0,7.0,-0.2,-8.3,-1.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,427.0,-14.2,10.0,12.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-9.4,0.6,62.0,0.0,0.0,7.0,-0.6,-7.4,0.4,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,424.0,409.0,-8.4,5.3,10.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.9,0.4,51.0,0.0,0.0,7.0,-0.5,-8.2,-0.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,137.0,412.0,-11.5,7.3,8.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.5,1.4,43.0,0.0,0.0,7.0,-1.1,-6.5,0.1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,425.0,-11.2,9.8,12.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-9.9,0.5,58.0,0.0,0.0,7.0,0.0,-7.3,0.1,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,406.0,112.0,-8.8,6.1,8.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-11.2,0.3,50.0,0.0,0.0,7.0,-0.4,-7.1,0.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,445.0,-10.0,7.8,10.4,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-7.7,0.5,83.0,0.0,0.0,7.0,,,,0.0,1.0,,1.0,,0.0,0.0,0.01,0.01,0.0,0.0,,,,,,0.82,0.82,0.82,0.82,,0.01,0.0,Dry weather,Dry weather,Dry,
-8.0,0.8,70.0,0.0,0.0,7.0,0.0,-7.5,-0.6,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,-7.1,3.8,9.4,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Dry
-7.3,0.2,84.0,0.0,0.0,7.0,0.0,-7.7,-0.7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,400.0,-6.4,1.5,6.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.7,0.8,41.0,0.0,0.4,7.0,0.0,-9.4,-1.4,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,430.0,430.0,-14.9,9.5,12.4,0.82,0.82,,,0.4,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-14.3,0.4,44.0,0.0,0.0,7.0,-0.3,-7.9,-1.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,417.0,430.0,-12.7,9.1,11.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.1,0.6,40.0,0.0,0.0,7.0,-0.7,-9.0,-1.8,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,437.0,112.0,-14.3,9.8,12.0,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-14.9,2.9,36.0,0.0,0.0,7.0,0.0,-7.6,-0.3,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,450.0,470.0,-13.3,11.7,13.7,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.5,0.7,34.0,0.0,0.0,7.0,-1.3,-8.0,-0.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,432.0,450.0,-14.7,12.1,14.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.8,1.0,35.0,0.0,1.3,7.0,0.0,-9.6,-0.7,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,465.0,465.0,-14.2,11.7,13.8,,,0.82,0.82,1.3,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.5,0.7,32.0,0.0,0.3,7.0,0.0,-7.8,0.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,420.0,417.0,-14.7,12.7,13.8,0.82,0.82,,,0.3,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.8,0.6,26.0,0.0,0.0,7.0,0.0,,,0.0,2.0,1.0,,,,,,,,,110.0,420.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Moist,Dry
-16.6,1.5,34.0,0.0,0.0,7.0,-1.4,-10.3,-0.4,0.0,2.0,,,,0.0,,0.0,,0.0,,112.0,,-14.8,12.2,14.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Moist,
-15.4,0.9,37.0,0.0,0.3,7.0,,-8.1,-0.1,0.0,0.0,1.0,,,0.0,,0.0,,0.0,,,430.0,-13.7,11.0,15.4,0.82,0.82,,,0.3,,0.0,Dry weather,Dry weather,The sensor has a fault,Dry
-17.0,1.0,36.0,0.0,0.0,7.0,-2.6,-11.2,-1.8,0.0,1.0,8.0,,,,0.0,,0.0,,0.0,402.0,110.0,-15.2,11.2,12.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Probably moist and salty
-16.9,0.3,34.0,0.0,0.0,7.0,-0.4,-8.6,0.2,0.0,1.0,1.0,,,0.01,,0.0,,0.0,,422.0,410.0,-15.1,12.0,11.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-17.3,0.6,30.0,0.0,0.0,7.0,0.0,-7.8,-0.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,425.0,412.0,-15.5,13.5,13.7,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-14.6,0.7,40.0,0.0,0.0,7.0,0.0,-9.6,-0.9,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,422.0,410.0,-13.0,10.1,12.2,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.3,0.4,29.0,0.0,0.0,7.0,0.0,-9.9,-0.6,0.0,1.0,,,,0.0,,0.0,,0.0,,406.0,,-16.4,13.7,16.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-19.1,0.8,28.0,0.0,0.0,7.0,0.0,-13.1,-1.2,0.0,1.0,1.0,,,,,,,,,430.0,427.0,-17.1,14.0,15.7,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.0,0.3,34.0,0.0,0.0,7.0,,-8.3,0.4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-14.3,12.1,,0.82,0.82,0.82,0.82,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,The sensor has a fault
-14.4,2.0,37.0,0.0,1.2,7.0,,-7.6,-0.9,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,422.0,-12.9,11.3,,0.82,0.82,0.82,0.82,1.2,,0.0,Dry weather,Dry weather,The sensor has a fault,Dry
-16.3,1.7,33.0,0.0,0.2,7.0,0.0,-8.0,0.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,425.0,435.0,-14.5,12.4,15.4,0.82,0.82,,,0.2,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.2,1.6,35.0,0.0,0.0,7.0,-0.3,-8.7,-1.5,0.0,1.0,,,,0.0,,0.0,,0.0,,411.0,,-14.5,11.6,14.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-15.5,0.7,37.0,0.0,0.0,7.0,0.0,-10.1,-0.7,0.0,1.0,1.0,,,,,,,,,406.0,417.0,-13.8,11.0,12.6,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.3,0.5,35.0,0.0,0.0,7.0,0.0,-9.8,-0.5,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,112.0,550.0,-14.5,11.9,13.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.4,0.3,43.0,0.0,0.0,7.0,0.0,-7.9,0.9,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,420.0,457.0,-12.0,9.5,13.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-17.5,2.7,29.0,0.0,1.5,7.0,0.0,-7.3,1.1,0.0,2.0,1.0,,,,0.0,,0.0,,0.0,112.0,135.0,-15.7,13.9,15.7,,,0.82,0.82,1.5,0.0,0.0,Dry weather,Dry weather,Moist,Dry
-16.8,1.8,30.0,0.0,1.4,7.0,0.0,-7.6,-0.3,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,440.0,440.0,-15.0,13.5,14.5,,,0.82,0.82,1.4,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.5,0.8,33.0,0.0,0.6,7.0,,-9.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,-14.8,12.4,,0.82,0.82,,,0.6,,0.0,Dry weather,Dry weather,The sensor has a fault,The sensor has a fault
-17.2,1.6,32.0,0.0,0.4,7.0,0.0,-8.9,-0.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,110.0,477.0,-15.4,12.8,15.1,0.82,0.82,,,0.4,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-17.3,1.6,32.0,0.0,0.0,7.0,0.0,-9.0,-0.2,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,133.0,432.0,-15.4,12.9,15.5,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.7,1.9,30.0,0.0,0.2,7.0,0.0,-7.3,0.1,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,485.0,457.0,-15.0,13.5,15.5,0.82,0.82,0.82,0.82,0.2,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.4,0.4,30.0,0.0,0.0,7.0,0.0,-9.0,-0.9,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,417.0,415.0,-16.5,13.3,14.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.1,0.9,36.0,0.0,0.0,7.0,-0.2,-9.5,-0.6,0.0,1.0,,,,0.0,,0.0,,0.0,,425.0,,-14.4,11.2,13.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-16.4,0.9,33.0,0.0,0.0,7.0,-0.3,-7.6,-0.5,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,412.0,412.0,-14.7,12.5,14.8,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-15.3,0.5,35.0,0.0,0.0,7.0,0.0,-7.9,0.6,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,132.0,,-13.7,12.0,13.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-16.2,1.0,37.0,0.0,0.0,7.0,0.0,-8.2,-1.5,0.0,1.0,,,,,0.0,,0.0,,0.0,112.0,,-14.5,10.8,15.0,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-17.0,0.8,32.0,0.0,0.0,7.0,,,,,1.0,1.0,,,,,,,,,417.0,417.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-12.5,0.3,52.0,0.0,0.0,7.0,,,,,1.0,7.0,,,,,,,,,339.0,143.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Ice
-16.3,,36.0,0.0,0.0,7.0,,,,,7.0,,,,,,,,,,109.0,,,,,,,,,,0.24,0.0,Dry weather,Dry weather,Ice,
-16.2,0.5,35.0,0.0,0.0,7.0,-0.3,-7.7,-0.2,0.0,1.0,,,,,,,,,,411.0,,-14.4,11.6,13.1,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-8.5,0.4,75.0,0.0,0.0,7.0,0.0,-8.2,-0.7,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,387.0,417.0,-7.6,2.8,7.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-14.3,1.0,44.0,0.0,0.0,7.0,-0.1,-8.6,-1.2,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,405.0,-12.8,8.9,12.2,0.82,0.82,0.82,0.82,0.0,0.25,0.0,Dry weather,Dry weather,Wet and salty,Dry
-18.8,0.6,32.0,0.0,0.0,7.0,-0.9,-9.6,-2.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,437.0,445.0,-16.9,12.4,12.8,0.82,0.82,,,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.9,0.5,39.0,0.0,0.0,7.0,-1.0,-9.6,-1.0,0.0,1.0,,,,0.0,,0.0,,0.0,,406.0,,-15.1,10.1,12.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-16.0,0.9,38.0,0.0,0.0,7.0,-4.1,-8.4,-0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,411.0,-14.3,10.6,13.2,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-16.0,0.6,39.0,0.0,0.0,7.0,-0.4,-8.0,-1.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,442.0,-14.3,10.3,12.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.8,0.2,61.0,0.0,0.1,7.0,-0.1,-8.7,-0.8,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,400.0,405.0,-9.6,5.2,6.0,0.82,0.82,,,0.1,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-7.0,0.0,76.0,0.0,0.0,7.0,0.0,,,0.0,1.0,1.0,,,,,,,,,435.0,418.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-9.3,1.0,62.0,0.0,1.9,7.0,0.0,-7.8,-0.2,0.0,1.0,,,,0.0,,0.0,,0.0,,110.0,,-8.3,5.4,9.5,0.82,0.82,,,1.9,0.0,0.0,Dry weather,Dry weather,Dry,
-8.2,0.3,78.0,0.0,0.0,7.0,-0.7,-9.1,-0.9,0.0,1.0,8.0,,,0.0,,0.0,,0.0,,414.0,115.0,-7.3,2.4,6.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Probably moist and salty
-7.5,0.4,88.0,0.0,0.0,7.0,-0.4,-8.4,-2.0,0.0,8.0,1.0,,,,,,,,,115.0,362.0,-6.7,0.9,1.9,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Probably moist and salty,Dry
-17.3,0.2,37.0,0.0,0.0,7.0,-0.2,-9.3,-0.9,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,451.0,411.0,-15.5,10.7,15.2,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.5,0.1,61.0,0.0,0.3,7.0,0.0,,,,1.0,1.0,,,,,,,,,465.0,138.0,,,,,,,,,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-10.4,0.0,63.0,0.0,0.3,7.0,,,,,1.0,,,,0.0,,0.0,,0.0,,,,,,,0.82,0.82,,,,0.0,0.0,Dry weather,Dry weather,Dry,
-6.4,0.7,84.0,0.0,0.0,7.0,0.0,-7.4,-1.1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,397.0,-5.7,1.7,6.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-17.6,1.1,31.0,0.0,0.0,7.0,-0.7,-9.3,-0.8,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,412.0,470.0,-15.8,12.9,14.6,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-19.3,1.1,29.0,0.0,0.0,7.0,-0.1,-9.3,-1.3,0.0,1.0,,,,,0.0,,0.0,,0.0,225.0,,-17.3,13.7,15.5,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-19.1,0.2,31.0,0.0,0.0,7.0,0.0,-10.0,-1.4,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,424.0,414.0,-17.2,12.5,14.9,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.4,0.3,32.0,0.0,1.8,7.0,-1.4,-9.8,-0.8,0.0,8.0,0.0,,,0.0,,0.0,,0.0,,110.0,110.0,-16.5,12.4,16.9,0.82,0.82,,,1.8,0.0,0.0,Dry weather,Dry weather,Probably moist and salty,The sensor has a fault
-18.6,0.2,34.0,0.0,0.0,7.0,-0.1,-9.9,-1.9,0.0,1.0,1.0,,,,0.0,,0.0,,0.0,405.0,412.0,-16.7,11.8,13.1,,,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-13.8,0.3,54.0,0.0,0.0,7.0,-0.1,-10.1,-2.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,495.0,448.0,-12.3,6.4,7.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
-18.8,0.4,32.0,0.0,0.0,7.0,-0.5,-9.4,-0.8,0.0,1.0,,,,,,,,,,398.0,,-16.9,12.5,14.0,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
-16.8,0.3,38.0,0.0,0.0,7.0,0.0,-10.3,-1.1,0.0,1.0,1.0,,,,,,,,,440.0,417.0,-15.0,10.5,11.4,,,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
